Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
fractured,thriller,thriller,thriller,movie title is fractured. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMDViOTQwZDMtNjBiMS00YzU4LTllNGUtM2YwNjk4NGMwOTk3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.4,100,0.46829268292682924,English,"October 11, 2019",Brad Anderson,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing."
irreplaceable you,drama,drama,drama,movie title is irreplaceable you. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMTUzMDI0MTc3OV5BMl5BanBnXkFtZTgwMjM0MzI3NDM@._V1_SX300.jpg,2018.0,6.4,96,0.448780487804878,English,"February 16, 2018",Stephanie Laing,A man and a woman who have known each other since age 8 are destined to be together until death does them part.
isi & ossi,romantic comedy,"comedy, romance",comedy,"movie title is isi & ossi. genre is comedy, romance. language is german.",https://m.media-amazon.com/images/M/MV5BNDVjY2JhYWQtNjZkMi00NWU1LTljZTctNWEzYWExOTFiMjJjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,113,0.5317073170731708,German,"February 14, 2020",Oliver Kienle,"To realize their culinary and boxing dreams, the daughter of a billionaire forms a mutually beneficial alliance with the son of a struggling single mom."
john was trying to contact aliens,documentary,documentary,documentary,movie title is john was trying to contact aliens. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZTNiNmQ4NjktMDEyOS00NmRiLTk2YjQtMzJiNjA5MDc2ZTllXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,16,0.058536585365853655,English,"August 20, 2020",Matthew Killip,John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search he makes a different connection here on Earth.
murder to mercy: the cyntoia brown story,documentary,documentary,documentary,movie title is murder to mercy: the cyntoia brown story. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BNTcxM2ZkN2MtYzc4Ni00NGJlLWJjNmEtZWY4MmNlNzhiMGFjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,97,0.4536585365853658,English,"April 29, 2020",Daniel H. Birman,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question."
my own man,documentary,documentary,documentary,movie title is my own man. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYzNiYTlkZDUtNDFlOC00MzI1LWI3ZGUtNTU1NDljOGFlMjMxXkEyXkFqcGc@._V1_SX300.jpg,2014.0,6.4,81,0.375609756097561,English,"December 13, 2014",David Sampliner,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood."
nappily ever after,"comedy, drama","comedy, drama",comedy,"movie title is nappily ever after. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BNzY2Nzk0MTgtMzFjOS00MDRlLWI0MzctYTA3Y2UxMTQzMTAzXkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.4,98,0.4585365853658536,English,"September 21, 2018",Haifaa Al-Mansour,"Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman."
over the moon,"animation, musical, adventure","musical, animation, adventure",musical,"movie title is over the moon. genre is musical, animation, adventure. language is english.",https://m.media-amazon.com/images/M/MV5BYTA5NTA4ZWEtODMwNS00MjhiLTgyOTAtNWE4ZWY2NTk3NjQ1XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,95,0.44390243902439025,English,"October 23, 2020","Glen Keane, John Kahrs","In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess."
street flow,drama,drama,drama,movie title is street flow. genre is drama. language is french.,https://m.media-amazon.com/images/M/MV5BZWYyMzcwZTMtZDk1Mi00MWZmLWI0YTktMjM5Mzg2MDFjNjY2XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.4,96,0.448780487804878,French,"October 12, 2019","Kery James, Leïla Sy",Three brothers try to survive on the streets of a tough French suburb.
strong island,documentary,documentary,documentary,movie title is strong island. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BNzQ4MGUxN2MtZWMzZC00M2NkLTljNzQtYzZlZGY0NzRhNjdiXkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.4,107,0.5024390243902439,English,September 15. 2017,Yance Ford,"When filmmaker Yance Ford investigates the 1992 murder of a young Black man, it becomes an achingly personal journey, since the victim, 24-year-old William Ford Jr., was the filmmaker's brother."
take your pills,documentary,documentary,documentary,movie title is take your pills. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BY2FjMjBlN2UtMDY1Zi00Y2E0LWJiZDktNzY3MTUwMmNlYjJhXkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.4,87,0.4048780487804878,English,"March 16, 2018",Alison Klayman,"Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this ge..."
the heartbreak club,"comedy, drama","comedy, drama",comedy,"movie title is the heartbreak club. genre is comedy, drama. language is indonesian.",https://m.media-amazon.com/images/M/MV5BZWVjMGViYTgtZDQzYy00ZjA0LWE1YzYtZWNjMmI3ZTUzMWJlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.4,101,0.47317073170731705,Indonesian,"January 14, 2021","Bagus Bramanti, Charles Gozali","Coping with heartbreak, the shy owner of floundering cafe find solace in the Javanese love songs of Didi Kempot."
the mars generation,documentary,documentary,documentary,movie title is the mars generation. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjQxMzE4MTAxMV5BMl5BanBnXkFtZTgwNTYyMjUyMjI@._V1_SX300.jpg,2017.0,6.4,97,0.4536585365853658,English,"May 5, 2017",Michael Barnett,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.
the occupant,thriller,thriller,thriller,movie title is the occupant. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BYjYxZDcxMmYtZTVkNC00ZmZmLTkyYjktMDViMzFhZjA5YmY5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,103,0.48292682926829267,Spanish,"March 25, 2020","David Pastor, Àlex Pastor","Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford."
the willoughbys,"animation, comedy, adventure","comedy, animation, adventure",comedy,"movie title is the willoughbys. genre is comedy, animation, adventure. language is english.",https://m.media-amazon.com/images/M/MV5BM2Y3MjZkYzYtMjcwMS00ZWQxLWJhOWMtYWM3OWUyZDQ3MDJmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.4,90,0.4195121951219512,English,"April 22, 2020","Kris Pearn, Cory Evans, Rob Lodermeier","Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family."
triple frontier,"action, thriller","thriller, action",thriller,"movie title is triple frontier. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BODU4MzM2MDAxMl5BMl5BanBnXkFtZTgwNDEzNjM0NzM@._V1_SX300.jpg,2019.0,6.4,125,0.5902439024390244,English,"March 13, 2019",J.C. Chandor,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences."
two catalonias,documentary,documentary,documentary,movie title is two catalonias. genre is documentary. language is spanish/catalan.,https://m.media-amazon.com/images/M/MV5BZWI5M2Y5YmItNGYwMy00ZGNkLWFlOWYtNGFiMjllMzBkNzE3XkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.4,116,0.5463414634146341,Spanish,"September 28, 2018","Álvaro Longoria, Gerardo Olivares","A documentary that tackles the ideological conflicts surrounding the December 21 election in the country, to the push for sovereignty and subsequent parliamentary declaration of independence and the aftermath."
walk. ride. rodeo.,drama,drama,drama,movie title is walk. ride. rodeo.. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BODU4MjA5MDE1MF5BMl5BanBnXkFtZTgwMzM2MDA0NzM@._V1_SX300.jpg,2019.0,6.4,99,0.46341463414634143,English,"March 8, 2019",Conor Allyn,A courageous teenager is determined to resume competitive rodeo months after her paralyzing spinal cord injury.
wheelman,action thriller,"thriller, action",thriller,"movie title is wheelman. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BMjA3NjA0MzE1N15BMl5BanBnXkFtZTgwNjAzNzQ0MzI@._V1_SX300.jpg,2017.0,6.4,82,0.3804878048780488,English,"October 20, 2017",Jeremy Rush,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.
when we first met,romantic comedy,"comedy, romance",comedy,"movie title is when we first met. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMzM1OTI4NDM4Nl5BMl5BanBnXkFtZTgwMDAwODg2NDM@._V1_SX300.jpg,2018.0,6.4,97,0.4536585365853658,English,"February 9, 2018",Ari Sandel,"Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things."
a 3 minute hug,documentary,documentary,documentary,movie title is a 3 minute hug. genre is documentary. language is english/spanish.,https://m.media-amazon.com/images/M/MV5BNzIxNGRjY2QtODUxZi00ZTM0LWFhNTgtM2VkZDgyZWJkODBlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.5,28,0.11707317073170732,English,"October 28, 2019",Everardo González,"How would you feel if you had no more than three minutes to hug your parents, nieces, and nephew of grandparents after more than a decade apart?"
all the bright places,romance,romance,romance,movie title is all the bright places. genre is romance. language is english.,https://m.media-amazon.com/images/M/MV5BOWVhYzY1ODItOTU0Ni00MDQwLTk3ZDYtOTc0YTAwMmM4NzAxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,108,0.5073170731707317,English,"February 28, 2020",Brett Haley,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something."
all together now,drama,drama,drama,movie title is all together now. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMzViNTQ3MTgtMjEyMS00Y2JhLWIyMzMtNWExOWM0NWQxZTQwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,93,0.43414634146341463,English,"August 28, 2020",Brett Haley,An optimistic high schooler with musical aspirations must learn to accept help from her friends to overcome her personal hardships and fulfill her dreams.
altered carbon: resleeved,"anime, science fiction","scifi, animation",scifi,"movie title is altered carbon: resleeved. genre is scifi, animation. language is japanese.",https://m.media-amazon.com/images/M/MV5BZDY4N2U4NzgtZTU1Ny00ZThlLWJlYWUtN2QxMDk4MWRhMGJkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,74,0.3414634146341463,Japanese,"March 19, 2020","Takeru Nakajima, Yoshiyuki Okada, Shouta Kitamoto","On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent."
antoine griezmann: the making of a legend,documentary,documentary,documentary,movie title is antoine griezmann: the making of a legend. genre is documentary. language is french.,https://m.media-amazon.com/images/M/MV5BZDg4MzMwNDYtOGRkOS00ZGMzLTliYWEtN2M5NWM3ZGU3ZmNlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.5,60,0.27317073170731704,French,"March 21, 2019",Alex Dell,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion."
canvas,"animation, short",animation,animation,movie title is canvas. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BYTk2MTkzOTQtNjhiOC00MjdhLTk1MDQtNTMxNTkzNzYxNjA0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,9,0.024390243902439022,English,"December 11, 2020",Frank E. Abney III,"After suffering a loss, a painter finds his inspiration to create again."
chadwick boseman: portrait of an artist,documentary,documentary,documentary,movie title is chadwick boseman: portrait of an artist. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BN2U5YjMxMjEtNmEzNi00MWI3LWIyYWQtZjdlZTZjMWZhZjU0XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.5,21,0.08292682926829267,English,"April 17, 2021",Awol Erizku,"Writers, directors and actors come together in a conversation about the extraordinary artistic process of Chadwick Boseman."
chopsticks,comedy,comedy,comedy,movie title is chopsticks. genre is comedy. language is hindi.,https://m.media-amazon.com/images/M/MV5BZTY4OTdhYWItMDAyOC00YzI5LTkzMDgtMmI2NzFiMTBmNjc2XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.5,100,0.46829268292682924,Hindi,"May 31, 2019",Sachin Yardi,A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.
da 5 bloods,war drama,"drama, war",drama,"movie title is da 5 bloods. genre is drama, war. language is english.",https://m.media-amazon.com/images/M/MV5BNjIwN2IxODEtNDhhMi00NDEwLWIwODEtYjIzZDVhZjg0Y2MyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,155,0.7365853658536585,English,"June 12, 2020",Spike Lee,Four black veterans battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.
dolly parton: a musicares tribute,documentary,documentary,documentary,movie title is dolly parton: a musicares tribute. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BODcxYTk2MjktNTJlYy00YzAyLWFjMzYtNjYwZjNlZTVkYTI4XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.5,55,0.24878048780487808,English,"April 7, 2021",Christian Lamb,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year."
eurovision song contest: the story of fire saga,musical comedy,"comedy, musical",comedy,"movie title is eurovision song contest: the story of fire saga. genre is comedy, musical. language is english.",https://m.media-amazon.com/images/M/MV5BMTFhODlhMGMtNTA4Yy00MjNhLWFiNjMtMTFkMjRkN2FmMjAyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,123,0.5804878048780487,English,"June 26, 2020",David Dobkin,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for."
gerald's game,horror thriller,"horror, thriller",horror,"movie title is gerald's game. genre is horror, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BNDA2ZjU5ZWMtMmQ4OS00ZTQzLWIwOWMtYTBmOTljYTIwNjM3XkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.5,103,0.48292682926829267,English,"September 29, 2017",Mike Flanagan,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free."
his house,thriller,thriller,thriller,movie title is his house. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMDBjNmYxMjctMjViNC00NmRlLWJkZWYtOTE2ZmY4ZDg3NmMyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,93,0.43414634146341463,English,"October 30, 2020",Remi Weekes,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface."
jingle jangle: a christmas journey,"family, christmas musical","family, musical",family,"movie title is jingle jangle: a christmas journey. genre is family, musical. language is english.",https://m.media-amazon.com/images/M/MV5BZmI4MDQ0ZDQtMTRhOC00ZDU4LTg5MTItZTZmOTU4ZDE1YTUzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,119,0.5609756097560975,English,"November 13, 2020",David E. Talbert,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever."
life overtakes me,documentary,documentary,documentary,movie title is life overtakes me. genre is documentary. language is english/swedish.,https://m.media-amazon.com/images/M/MV5BNzY3YTQwZjItNTcwYi00ZmQyLTkwYWUtZTY5ZjdlMTNkOTA5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.5,40,0.175609756097561,English,"June 14, 2019","John Haptas, Kristine Samuelson","In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome."
lust stories,drama,drama,drama,movie title is lust stories. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BMTgwNTQ4NDAyN15BMl5BanBnXkFtZTgwNjMwMzQ3NTM@._V1_SX300.jpg,2018.0,6.5,120,0.5658536585365853,Hindi,"June 15, 2018","Zoya Akhtar, Dibakar Banerjee, Karan Johar","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
monster,drama,drama,drama,movie title is monster. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BZGY2OTcxYWItZDgxNi00Y2E1LTk0YTgtZDcwZjZkNzU4OTJjXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.5,98,0.4585365853658536,English,"May 7, 2021",,"Chronicles the real life stories of infamous killers, presenting several different perspectives of their cases."
mowgli: legend of the jungle,adventure,adventure,adventure,movie title is mowgli: legend of the jungle. genre is adventure. language is english.,https://m.media-amazon.com/images/M/MV5BMjMzODc2NzU5MV5BMl5BanBnXkFtZTgwNTMwMTE3NjM@._V1_SX300.jpg,2018.0,6.5,104,0.4878048780487805,English,"December 7, 2018",Andy Serkis,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins."
nobody knows i'm here,drama,drama,drama,movie title is nobody knows i'm here. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BYTQ3NDA2NWEtN2U0ZC00OWQ1LTgxNmUtY2QxN2ExNTkxOWU3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,91,0.424390243902439,Spanish,"June 24, 2020",Gaspar Antillo,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?"
nobody speak: trials of the free press,documentary,documentary,documentary,movie title is nobody speak: trials of the free press. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BODg3ODgxMjk1NV5BMl5BanBnXkFtZTgwMzE3Mjg2MjI@._V1_SX300.jpg,2017.0,6.5,95,0.44390243902439025,English,"June 23, 2017",Brian Knappenberger,The courtroom and publicity battles between Hulk Hogan and Gawker Media explode in a sensational trial all about the limits of the First Amendment and the new no holds barred nature of celebrity life in an internet dominated society.
oxygen,science fiction thriller,"scifi, thriller",scifi,"movie title is oxygen. genre is scifi, thriller. language is french.",https://m.media-amazon.com/images/M/MV5BY2IyZTFkZGEtM2JiOC00NDMyLThmOTktZDEzYzFlZTc4YzJkXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.5,101,0.47317073170731705,French,"May 12, 2021",Alexandre Aja,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare."
set it up,romantic comedy,"comedy, romance",comedy,"movie title is set it up. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMTk0MDUyMzA1OF5BMl5BanBnXkFtZTgwNzA4NzE1NTM@._V1_SX300.jpg,2018.0,6.5,105,0.4926829268292683,English,"June 15, 2018",Claire Scanlon,Two corporate executive assistants hatch a plan to match-make their two bosses.
the incredible jessica james,comedy,comedy,comedy,movie title is the incredible jessica james. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTUxODczMTQ2Ml5BMl5BanBnXkFtZTgwNDI1ODA5MjI@._V1_SX300.jpg,2017.0,6.5,83,0.3853658536585366,English,"July 28, 2017",Jim Strouse,An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.
tigertail,drama,drama,drama,movie title is tigertail. genre is drama. language is english/taiwanese/mandarin.,https://m.media-amazon.com/images/M/MV5BNWJhYzc1ZTYtMjZiNS00N2Y1LWIxYWEtZjdjY2U2ZmM3MjYyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,91,0.424390243902439,English,"April 10, 2020",Alan Yang,"In this multigenerational drama, a Taiwanese factory worker leaves his homeland to seek opportunity in America, where he struggles to find connection while balancing family and new-found responsibilities."
tramps,romance,romance,romance,movie title is tramps. genre is romance. language is english.,https://m.media-amazon.com/images/M/MV5BODhmZmU1NmEtOGNlZi00ZmYzLWE1YmItNmE4ZDQ5Zjc3NGZmXkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.5,83,0.3853658536585366,English,"April 21, 2017",Adam Leon,A young man and woman find love in an unlikely place while carrying out a shady deal.
what did jack do?,"drama, short",drama,drama,movie title is what did jack do?. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BYWY5NWRkNjItYWJhNS00MzA2LTgyNTYtNjNkNzNhNzIzMmFlXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.5,17,0.06341463414634146,English,"January 20, 2020",David Lynch,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey."
bad trip,"hidden, camera prank comedy",comedy,comedy,movie title is bad trip. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZDBjMDA4ZWEtNzU4ZC00MGQ1LTgzMWEtNTM1ZTU5OGNhZmI5XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.6,86,0.39999999999999997,English,"March 26, 2021",Kitao Sakurai,This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real...
bird box,psychological thriller,thriller,thriller,movie title is bird box. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMjAzMTI1MjMyN15BMl5BanBnXkFtZTgwNzU5MTE2NjM@._V1_SX300.jpg,2018.0,6.6,124,0.5853658536585366,English,"December 21, 2018",Susanne Bier,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety."
bulbbul,horror,horror,horror,movie title is bulbbul. genre is horror. language is hindi.,https://m.media-amazon.com/images/M/MV5BNGMzNGE1YTEtNjg1NS00N2Q3LWJhOWItZDFmOWE2NjU4OGY3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.6,94,0.43902439024390244,Hindi,"June 24, 2020",Anvita Dutt,"A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths."
crazy about her,romantic comedy,"comedy, romance",comedy,"movie title is crazy about her. genre is comedy, romance. language is spanish.",https://m.media-amazon.com/images/M/MV5BZGE3ZjU2NTctY2YxYi00YzY1LWIwYTktODA5MTUyMTk5MTFlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.6,102,0.47804878048780486,Spanish,"February 26, 2021",Dani de la Orden,"After a magical night together, Adri voluntarily turns himself into the psychiatric institution where Carla lives."
elisa & marcela,romance,romance,romance,movie title is elisa & marcela. genre is romance. language is spanish.,https://m.media-amazon.com/images/M/MV5BZWQ2ZWIzNmEtNTI1Ni00NTlmLWEwMGEtMzNjMzc5NzlkZmQwXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.6,118,0.5560975609756097,Spanish,"June 7, 2019",Isabel Coixet,"In 1901, Elisa Sanchez Loriga took on the identity of Mario Sánchez to marry her lover of fifteen years, Marcela Gracia Ibeas."
i'll sleep when i'm dead,documentary,documentary,documentary,movie title is i'll sleep when i'm dead. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTQ4NjhjMTgtMTMzYS00OGE0LWExNzItZmI2ZDE5NGI1YzViXkEyXkFqcGc@._V1_SX300.jpg,2016.0,6.6,79,0.36585365853658536,English,"August 19, 2016",Mike Hodges,A man returns to London and seeks revenge against his brother's killer.
i'm thinking of ending things,psychological thriller,thriller,thriller,movie title is i'm thinking of ending things. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BYTgxNWU0MGMtMDI1Ny00NDIwLTllYzYtZDkyOTVmYmFhZGM0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.6,134,0.6341463414634146,English,"September 4, 2020",Charlie Kaufman,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself."
it takes a lunatic,documentary,documentary,documentary,movie title is it takes a lunatic. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYTk3MjBiYjktOTllYS00Nzk1LWFmZWMtNmZiODIxZWQ3NTVjXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.6,126,0.5951219512195122,English,"October 25, 2019","Billy Lyons, Kim Ferraro, Seth Isler","The life and career of acting teacher and co-founder/director of the American Place Theater, Wynn Handman."
recovery boys,documentary,documentary,documentary,movie title is recovery boys. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZjc5YTY3OWItNmUwMy00MWViLTgwNjEtYWVkOGY0YWU4NjAzXkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.6,89,0.4146341463414634,English,"June 29, 2018",Elaine McMillion Sheldon,"In the heart of America's opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director Elaine McMillion Sheldon (Heroin(e)), is..."
remastered: who killed jam master jay?,documentary,documentary,documentary,movie title is remastered: who killed jam master jay?. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZmQ4NmE4NDgtYjIzYS00NjE0LWI4OTAtNjE5NWQwOTU4MWFhXkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.6,58,0.2634146341463414,English,"December 7, 2018",Brian Oakes,"Run DMC's Jam Master Jay was shot and killed in a Jamaica, Queens recording studio in 2002. Despite six witnesses present at the murder, no one has ever been convicted."
shawn mendes: in wonder,documentary,documentary,documentary,movie title is shawn mendes: in wonder. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZjU3ZDJkZmYtZmVkOC00MWI2LTg3NTQtZmIxNzZjY2ZlNzQ0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.6,83,0.3853658536585366,English,"November 23, 2020",Grant Singer,"A portrait of singer/songwriter Shawn Mendes' life, chronicling the past few years of his rise and journey."
space sweepers,science fiction,scifi,scifi,movie title is space sweepers. genre is scifi. language is korean.,https://m.media-amazon.com/images/M/MV5BNTZiMDBhODAtN2Y4Mi00ZThjLTg0ODItN2M1ZGJkZWI1N2YxXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.6,136,0.6439024390243903,Korean,"February 5, 2021",Jo Sung-hee,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business ..."
the angel,spy thriller,"thriller, action",thriller,"movie title is the angel. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BMTEzOTY5ODA2MDReQTJeQWpwZ15BbWU4MDI5NDkyMTYz._V1_SX300.jpg,2018.0,6.6,114,0.5365853658536586,English,"September 14, 2018",Ariel Vromen,"As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage."
the crimes that bind,crime drama,drama,drama,movie title is the crimes that bind. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BZWJmMWY1ODQtNzVkZS00Nzg2LWE4NzktZTg4OWMyNjljZTcyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.6,99,0.46341463414634143,Spanish,"August 20, 2020",Sebastián Schindel,"Desperate and confused, Alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife."
the red sea diving resort,spy thriller,"thriller, action",thriller,"movie title is the red sea diving resort. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BODk5ZmI1MTItZmU1Zi00MTMzLTk3ZDctYzM5YzYyMTI2YzE3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.6,130,0.6146341463414634,English,"July 31, 2019",Gideon Raff,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.
